model,error_type,error_step,step_name,is_compound,compound_steps,severity,severity_physical,severity_physical_normalized,task_query,has_traces,delta_word_count,injection_position,n_sentences_affected,text_length_before,text_length_after,n_words_changed,length_change_ratio,n_nouns,n_adjs,n_verbs,n_advs,n_entities,survival_at_final,n_steps_propagated,combined_score,combined_score_v2,combined_score_v3,quality_score,keyword_score,assertion_score,is_valid,rubric_accuracy,rubric_completeness,rubric_coherence,rubric_usefulness,tfidf_similarity,precision,recall,f1,unigram_retention,bigram_retention,verify_detected,step_compression_mean,failure_rate
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.328,1,173,177,4,1.023121387283237,1,0,2,1,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4428,1.0,0.75,0.8571,0.5238,0.3478,0,4.0824,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.314,1,173,182,9,1.0520231213872833,2,1,4,1,1,0.0,3,1.0,,,,1.0,1.0,1,,,,,0.3677,1.0,1.0,1.0,0.5714,0.4348,0,4.1446,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,2,0.7222222222222223,,,,0.0,0.75,1,,,,,0.4215,1.0,0.75,0.8571,0.7619,0.3913,0,4.1604,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.313,1,173,182,9,1.0520231213872833,3,2,2,0,1,0.0,4,0.6777777777777778,,,,0.0,0.75,1,,,,,0.5248,1.0,0.75,0.8571,0.7143,0.6957,0,4.1588,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.328,1,173,177,4,1.023121387283237,1,0,2,1,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4428,1.0,0.75,0.8571,0.5238,0.3478,0,4.0983,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,12,0.314,1,173,183,10,1.0578034682080926,2,1,3,1,2,0.0,3,0.51,,,,0.0,0.5,0,,,,,0.2466,1.0,0.5,0.6667,0.381,0.2174,1,4.1951,0.17192855854230565
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.315,1,173,182,9,1.0520231213872833,2,1,6,0,1,0.0,3,0.8700000000000001,,,,0.0,0.75,1,,,,,0.5872,1.0,0.75,0.8571,0.7619,0.6957,0,4.1646,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.315,1,173,182,9,1.0520231213872833,2,1,6,0,1,0.0,3,0.8700000000000001,,,,0.0,0.75,1,,,,,0.5036,1.0,0.75,0.8571,0.8095,0.7391,0,4.1575,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4001,1.0,0.75,0.8571,0.4286,0.2174,0,4.2053,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,2,0.7222222222222223,,,,0.0,0.75,1,,,,,0.6784,1.0,0.75,0.8571,0.8095,0.6957,0,4.1503,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.328,1,173,177,4,1.023121387283237,1,0,2,1,1,0.0,2,0.6000000000000001,,,,0.0,0.5,0,,,,,0.2137,1.0,0.5,0.6667,0.4762,0.2174,1,4.1362,0.025798304167418285
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.602,1,90,94,4,1.0444444444444445,1,0,2,1,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.5602,1.0,0.75,0.8571,0.5714,0.3478,0,4.0618,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.328,1,173,177,4,1.023121387283237,1,0,2,1,1,0.0,2,0.6000000000000001,,,,0.0,0.5,0,,,,,0.2137,1.0,0.5,0.6667,0.4762,0.2174,1,4.1362,0.025798304167418285
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.315,1,173,181,8,1.046242774566474,1,4,2,0,1,0.0,2,0.6000000000000001,,,,0.0,0.5,0,,,,,0.3771,1.0,0.5,0.6667,0.4762,0.3478,1,4.2542,0.025798304167418285
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1,Were Scott Derrickson and Ed Wood of the same nationality?,True,12,0.419,1,120,130,10,1.0833333333333333,2,1,3,1,2,0.0,2,0.7600000000000001,,,,1.0,1.0,1,,,,,0.5204,0.8,1.0,0.8889,0.7143,0.5217,0,3.9993,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.602,1,90,94,4,1.0444444444444445,1,0,2,1,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.5602,1.0,0.75,0.8571,0.5714,0.3478,0,4.0662,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,9,0.321,1,173,180,7,1.0404624277456647,2,0,4,1,1,0.0,2,0.6000000000000001,,,,0.0,0.5,0,,,,,0.3123,1.0,0.5,0.6667,0.5714,0.3043,1,4.187,0.025798304167418285
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.314,1,173,181,8,1.046242774566474,3,2,2,0,1,0.0,4,0.30000000000000004,,,,0.0,0.5,0,,,,,0.4258,1.0,0.5,0.6667,0.4762,0.3478,1,4.2138,0.5128991520837092
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.568,1,90,98,8,1.0888888888888888,3,1,3,0,1,0.0,2,0.6000000000000001,,,,0.0,0.5,0,,,,,0.2645,1.0,0.5,0.6667,0.5238,0.3043,1,4.0481,0.025798304167418285
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.446,1,120,124,4,1.0333333333333334,1,0,2,1,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.3703,1.0,0.75,0.8571,0.381,0.2609,0,4.1388,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.553,1,90,99,9,1.1,2,1,4,1,1,0.6667,4,0.4333333333333334,,,,0.0,0.75,0,,,,,0.522,1.0,0.75,0.8571,0.9524,0.6522,1,4.0716,0.2964098863431354
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.421,1,120,128,8,1.0666666666666667,1,4,2,0,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.422,1.0,0.75,0.8571,0.381,0.3043,0,4.1645,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.602,1,90,94,4,1.0444444444444445,1,0,2,1,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.5602,1.0,0.75,0.8571,0.5714,0.3478,0,4.0618,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.501,1,104,112,8,1.0769230769230769,3,1,3,0,1,0.0,2,0.7000000000000001,,,,0.0,0.75,0,,,,,0.4954,1.0,0.75,0.8571,0.5238,0.2609,1,4.0715,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.556,1,90,99,9,1.1,2,1,6,0,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.5177,1.0,0.75,0.8571,0.8095,0.7826,0,3.9756,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,9,0.576,1,90,97,7,1.0777777777777777,2,0,4,1,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.6032,1.0,0.75,0.8571,0.6667,0.5217,0,4.011,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.549,1,90,99,9,1.1,3,2,2,0,1,0.0,3,0.36000000000000004,,,,0.0,0.5,0,,,,,0.3344,1.0,0.5,0.6667,0.5238,0.3043,1,4.0617,0.415478982500451
claude-3-haiku,factual,2,summarize,False,,1,1.0,0.125,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.623,1,70,78,8,1.1142857142857143,3,1,3,0,1,0.0,1,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4685,1.0,0.75,0.8571,0.619,0.4348,0,3.9953,0.0
claude-3-haiku,factual,2,summarize,False,,1,1.0,0.1429,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.315,1,63,67,4,1.0634920634920635,1,0,2,1,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.3977,1.0,0.75,0.8571,0.7143,0.3913,0,3.9838,0.0
claude-3-haiku,factual,2,summarize,False,,1,1.0,0.1667,Were Scott Derrickson and Ed Wood of the same nationality?,True,12,0.494,1,75,85,10,1.1333333333333333,2,1,3,1,2,0.0,1,0.9000000000000001,,,,0.0,0.75,1,,,,,0.422,1.0,0.75,0.8571,0.381,0.3043,0,4.1392,0.0
claude-3-haiku,factual,2,summarize,False,,1,1.0,0.125,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.446,1,95,103,8,1.0842105263157895,3,1,3,0,1,0.0,1,0.8600000000000001,,,,0.0,0.75,1,,,,,0.508,1.0,0.75,0.8571,0.5238,0.3478,0,4.008,0.0
