model,error_type,error_step,step_name,is_compound,compound_steps,severity,severity_physical,severity_physical_normalized,task_query,has_traces,delta_word_count,injection_position,n_sentences_affected,text_length_before,text_length_after,n_words_changed,length_change_ratio,n_nouns,n_adjs,n_verbs,n_advs,n_entities,survival_at_final,n_steps_propagated,combined_score,combined_score_v2,combined_score_v3,quality_score,keyword_score,assertion_score,is_valid,rubric_accuracy,rubric_completeness,rubric_coherence,rubric_usefulness,tfidf_similarity,precision,recall,f1,unigram_retention,bigram_retention,verify_detected,step_compression_mean,failure_rate
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,2,0.7222222222222223,,,,0.0,0.75,1,,,,,0.5029,1.0,0.75,0.8571,0.9091,0.7273,0,4.157,0.0131798465131798
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.314,1,173,182,9,1.0520231213872833,2,1,4,1,1,0.0,4,0.7222222222222223,,,,0.0,0.75,1,,,,,0.3419,1.0,0.75,0.8571,0.7273,0.4545,0,4.1473,0.0131798465131798
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,3,0.8200000000000001,,,,0.0,0.75,1,,,,,0.3913,1.0,0.75,0.8571,0.6364,0.4545,0,4.1378,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.313,1,173,182,9,1.0520231213872833,3,2,2,0,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.6664,1.0,0.75,0.8571,0.9091,0.7273,0,4.2045,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.328,1,173,177,4,1.023121387283237,1,0,2,1,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4054,1.0,0.75,0.8571,0.6364,0.4545,0,4.0824,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.315,1,173,182,9,1.0520231213872833,2,1,6,0,1,0.0,1,0.9000000000000001,,,,0.0,0.75,1,,,,,0.4817,1.0,0.75,0.8571,0.5455,0.4545,0,4.3201,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.318,1,173,181,8,1.046242774566474,3,1,3,0,1,0.0,2,0.7222222222222223,,,,0.0,0.75,1,,,,,0.406,1.0,0.75,0.8571,0.9091,0.7273,0,4.1488,0.0131798465131798
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,11,0.315,1,173,182,9,1.0520231213872833,2,1,6,0,1,0.0,3,0.8700000000000001,,,,0.0,0.75,1,,,,,0.3799,1.0,0.75,0.8571,0.9091,0.7273,0,4.1575,0.0
claude-3-haiku,factual,0,search,False,,1,1.0,0.0667,Were Scott Derrickson and Ed Wood of the same nationality?,True,10,0.314,1,173,181,8,1.046242774566474,3,2,2,0,1,0.0,3,0.9000000000000001,,,,0.0,0.75,1,,,,,0.6664,1.0,0.75,0.8571,0.9091,0.7273,0,4.1803,0.0
claude-3-haiku,factual,1,filter,False,,1,1.0,0.1111,Were Scott Derrickson and Ed Wood of the same nationality?,True,6,0.602,1,90,94,4,1.0444444444444445,1,0,2,1,1,0.0,2,0.9000000000000001,,,,0.0,0.75,1,,,,,0.6598,1.0,0.75,0.8571,0.9091,0.7273,0,4.0662,0.0
